CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
04/29/2019,16:30,,,40.709747,-73.82057,"(40.709747, -73.82057)",VAN WYCK EXPWY                  ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4122840,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/13/2019,10:45,,,40.63405,-74.145996,"(40.63405, -74.145996)",,,157       MORNINGSTAR ROAD              ,1,0,0,0,0,0,1,0,Backing Unsafely,Unspecified,,,,4131117,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
04/22/2019,22:00,BROOKLYN,11210,40.616383,-73.95264,"(40.616383, -73.95264)",AVENUE N                        ,EAST 22 STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,4119305,Station Wagon/Sport Utility Vehicle,Sedan,,,
04/21/2019,22:33,,,40.739693,-73.84598,"(40.739693, -73.84598)",LONG ISLAND EXPRESSWAY          ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4118614,Sedan,,,,
05/07/2019,20:10,,,40.60659,-74.03238,"(40.60659, -74.03238)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4127481,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/05/2019,11:25,,,40.8197,-73.93449,"(40.8197, -73.93449)",HARLEM RIVER DRIVE              ,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4125806,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/11/2019,16:50,,,40.856712,-73.93264,"(40.856712, -73.93264)",FAIRVIEW AVENUE                 ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,4131750,Sedan,Sedan,,,
04/20/2019,17:30,MANHATTAN,10001,40.752445,-73.99701,"(40.752445, -73.99701)",,,401       9 AVENUE                      ,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4118737,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
04/29/2019,9:30,MANHATTAN,10021,40.766167,-73.954254,"(40.766167, -73.954254)",EAST 71 STREET                  ,YORK AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4122545,Sedan,Taxi,,,
04/24/2019,14:45,,,,,,HUTCHINSON RIVER PARKWAY        ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4120207,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/14/2019,21:45,MANHATTAN,10001,40.751026,-73.99662,"(40.751026, -73.99662)",,,366       WEST 31 STREET                ,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4132091,Sedan,,,,
05/10/2019,0:00,BRONX,10456,40.832706,-73.90506,"(40.832706, -73.90506)",3 AVENUE                        ,EAST 169 STREET,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4129736,Station Wagon/Sport Utility Vehicle,Sedan,,,
05/02/2019,16:45,,,40.622787,-73.9901,"(40.622787, -73.9901)",17 AVENUE                       ,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4124443,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/02/2019,13:20,,,40.69591,-73.80995,"(40.69591, -73.80995)",97 AVENUE                       ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4124946,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
05/02/2019,18:50,BROOKLYN,11214,40.600525,-73.98687,"(40.600525, -73.98687)",,,2440      83 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4124592,Sedan,,,,
